Phase,Status,Major,Businessmajor,Year,Birthyear,Age,Start_business,Familiar_minor,Familiar_center,Attendance,Attitude,Attendance_future,Exposure_flyers,Exposure_tabling,Expsoure_socialmedia,Participation,Direction
Pre-campaign,student,business,yes,junior,2003,20,4,1,1,no,3,99,99,99,99,99,99
Pre-campaign,student,business,yes,senior,2002,21,3,2,3,no,3,99,99,99,99,99,99
Pre-campaign,student,communication,no,junior,2002,21,3,2,1,no,3,99,99,99,99,99,99
Pre-campaign,student,business,yes,senior,2002,21,4,2,4,no,5,99,99,99,99,99,99
Pre-campaign,student,education,no,junior,2002,21,3,3,2,no,3,99,99,99,99,99,99
Pre-campaign,student,business,yes,senior,2001,22,1,3,1,no,3,99,99,99,99,99,99
Pre-campaign,student,business,yes,junior,2003,20,3,1,1,no,99,99,99,99,99,99,99
Pre-campaign,student,business,yes,junior,2002,21,4,3,1,no,3,99,99,99,99,99,99
Pre-campaign,student,business,yes,senior,2001,22,4,3,1,no,3,99,99,99,99,99,99
Pre-campaign,faculty,education,no,99,1999,24,4,1,1,no,3,99,99,99,99,99,99
Pre-campaign,student,business,yes,senior,2002,21,1,3,4,no,3,99,99,99,99,99,99
Pre-campaign,student,99,99,sophomore,2004,19,3,1,1,no,2,99,99,99,99,99,99
Pre-campaign,student,engineering,no,senior,2000,23,5,3,1,no,3,99,99,99,99,99,99
Pre-campaign,student,business,yes,junior,2003,20,5,4,2,no,3,99,99,99,99,99,99
Pre-campaign,student,business,yes,senior,2001,22,5,2,2,no,2,99,99,99,99,99,99
Pre-campaign,student,business,yes,senior,2002,21,4,4,4,no,5,99,99,99,99,99,99
Pre-campaign,student,business,yes,senior,2002,21,3,1,1,no,3,99,99,99,99,99,99
Pre-campaign,student,business,yes,senior,2002,21,5,4,4,yes,5,99,99,99,99,99,99
Pre-campaign,student,psychology,no,sophomore,2004,19,3,2,1,no,3,99,99,99,99,99,99
Pre-campaign,student,psychology,no,junior,2003,20,4,1,1,no,3,99,99,99,99,99,99
Pre-campaign,student,communication,no,sophomore,2004,19,2,1,2,no,3,99,99,99,99,99,99
Pre-campaign,student,psychology,no,sophomore,2004,19,2,1,1,no,99,99,99,99,99,99,99
Pre-campaign,student,psychology,no,junior,2003,20,3,4,2,no,3,99,99,99,99,99,99
Pre-campaign,student,psychology,no,sophomore,2004,19,2,1,1,no,3,99,99,99,99,99,99
Pre-campaign,student,psychology,no,sophomore,2003,20,1,1,1,no,99,99,99,99,99,99,99
Pre-campaign,student,psychology,no,junior,2003,20,2,1,1,no,3,99,99,99,99,99,99
Pre-campaign,student,psychology,no,sophomore,2004,19,2,1,1,no,99,99,99,99,99,99,99
Pre-campaign,student,psychology,no,senior,2002,21,2,1,1,no,3,99,99,99,99,99,99
Pre-campaign,student,psychology,no,sophomore,2003,20,3,1,1,no,2,99,99,99,99,99,99
Pre-campaign,student,political science,no,junior,2002,21,2,1,2,no,2,99,99,99,99,99,99
Pre-campaign,student,psychology,no,senior,1999,24,5,2,1,no,1,99,99,99,99,99,99
Pre-campaign,student,psychology,no,sophomore,2003,20,2,2,3,no,3,99,99,99,99,99,99
Pre-campaign,student,psychology,no,sophomore,2004,19,4,5,2,no,1,99,99,99,99,99,99
Pre-campaign,student,psychology,no,sophomore,2004,19,1,1,1,no,3,99,99,99,99,99,99
Post-campaign,student,business,yes,junior,2002,21,99,3,2,no,4,3,no,yes,yes,yes,yes
Post-campaign,student,strategic and corporate communication,no,sophomore,2004,19,99,1,1,no,4,2,no,no,no,no,no
Post-campaign,student,health sciences,no,senior,2002,21,99,3,4,no,5,3,no,no,no,no,yes
Post-campaign,student,business,yes,senior,2001,22,99,3,2,no,3,2,yes,no,no,no,yes
Post-campaign,student,strategic and corporate communication,no,junior,2003,20,99,1,1,no,3,1,no,no,no,no,no
Post-campaign,student,business,yes,junior,2003,20,99,5,2,no,2,5,no,yes,no,no,no
Post-campaign,student,strategic and corporate communication,no,senior,2002,21,99,1,1,no,3,1,no,no,no,no,no
Post-campaign,student,business,yes,senior,2002,21,99,2,3,no,3,2,no,no,no,no,yes
Post-campaign,student,strategic and corporate communication,no,senior,2002,21,99,5,5,no,4,3,no,yes,no,yes,yes
Post-campaign,student,communication,no,senior,2002,21,99,1,1,no,3,2,no,no,no,no,no
Post-campaign,student,business,yes,senior,2002,21,99,3,2,no,3,3,yes,no,no,no,yes
Post-campaign,student,communication,no,senior,2002,21,99,1,1,no,3,1,no,no,no,no,no
Post-campaign,student,communication,no,junior,2003,20,99,2,2,no,3,1,no,no,no,no,no
Post-campaign,student,business,yes,junior,2003,20,99,1,1,no,3,2,no,no,no,no,no
Post-campaign,student,business,yes,junior,2002,21,99,5,5,yes,5,5,no,no,no,no,yes
Post-campaign,student,business,yes,senior,2002,21,99,5,4,no,3,3,no,no,no,no,yes
Post-campaign,student,communication,no,senior,2002,21,99,2,1,no,3,2,no,no,no,no,no
Post-campaign,student,communication,no,senior,2002,21,99,4,3,no,3,2,no,no,no,no,no
Post-campaign,student,strategic and corporate communication,no,senior,99,99,99,1,1,no,3,3,yes,no,no,no,yes
Post-campaign,student,business,yes,senior,2002,21,99,3,1,yes,5,5,yes,no,no,no,yes
Post-campaign,student,psychology,no,junior,2003,20,99,1,1,no,3,3,no,no,no,no,no
Post-campaign,student,education,no,sophomore,2003,20,99,3,4,yes,3,3,yes,no,no,yes,yes
Post-campaign,student,education,no,junior,2003,20,99,1,1,no,3,1,no,no,no,no,no
Post-campaign,student,business,yes,senior,2002,21,99,4,3,no,4,3,no,no,no,no,yes
Post-campaign,student,business,yes,sophomore,2004,19,99,3,3,no,3,4,no,no,no,no,no
Post-campaign,student,political science,no,sophomore,2004,19,99,3,1,no,3,4,no,no,no,no,no
Post-campaign,student,film,no,senior,2002,21,99,2,1,no,3,1,no,no,no,no,no
Post-campaign,student,film,no,senior,2002,21,99,5,3,no,4,2,no,no,no,no,yes
Post-campaign,student,engineering,no,sophomore,2004,19,99,2,1,no,3,3,no,no,no,no,no
Post-campaign,student,business,yes,senior,2002,21,99,4,5,yes,5,4,no,no,no,no,yes
Post-campaign,student,health sciences,no,senior,2001,22,99,3,1,no,3,2,no,no,no,no,no
Post-campaign,student,film,no,junior,2003,20,99,2,2,no,3,3,no,no,no,no,no
Post-campaign,student,strategic and corporate communication,no,senior,1995,28,99,3,4,no,4,4,no,no,no,no,no
Post-campaign,student,film,no,junior,2002,21,99,2,1,no,3,1,no,no,no,no,no
Post-campaign,student,business,yes,senior,1999,24,99,2,2,no,3,2,no,no,no,no, 
Post-campaign,student,political science,no,sophomore,2004,19,99,2,1,no,3,1,no,no,no,no,no
Post-campaign,student,psychology,no,senior,2002,21,99,1,1,no,3,3,no,no,no,no,no
Post-campaign,student,business,yes,senior,2002,21,99,3,4,no,2,2,no,no,no,no,yes
Post-campaign,student,psychology,no,senior,2002,21,99,5,5,no,4,5,no,no,yes,no,yes
Post-campaign,student,psychology,no,senior,2002,21,99,1,1,no,3,2,no,no,no,no,no
Post-campaign,student,business,yes,senior,2002,21,99,1,1,no,5,3,no,no,no,no,yes
Post-campaign,student,business,yes,senior,2001,22,99,2,1,no,3,2,no,no,no,no,no
Post-campaign,student,business,yes,senior,2002,21,99,4,3,yes,4,4,yes,no,yes,no,yes
Post-campaign,student,education,no,junior,2003,20,99,1,1,no,3,2,no,no,no,no,no
Post-campaign,student,film,no,senior,2001,22,99,4,3,no,4,5,yes,no,yes,no,no
Post-campaign,student,strategic and corporate communication,no,junior,99,99,99,3,1,no,3,1,no,no,no,no,no
Post-campaign,student,psychology,no,junior,2003,20,99,4,4,no,5,3,yes,yes,no,no,yes
Post-campaign,student,business,yes,senior,99,99,99,5,5,yes,4,5,yes,no,yes,no,yes
Post-campaign,student,film,no,freshman,2005,18,99,2,1,no,3,3,yes,no,no,no,no
Post-campaign,student,business,yes,senior,2002,21,99,3,4,no,4,3,no,no,no,no,yes
Post-campaign,student,engineering,no,freshman,2005,18,99,1,1,no,5,5,no,no,yes,no,yes
Post-campaign,student,business,yes,senior,2001,22,99,3,2,no,3,2,no,no,no,no,no
Post-campaign,student,health sciences,no,senior,2001,22,99,2,2,no,3,4,no,no,no,no,no
Post-campaign,student,business,yes,senior,2002,21,99,4,4,yes,4,5,no,no,no,no,yes
Post-campaign,student,film,no,junior,2003,20,99,5,2,no,3,3,no,no,no,no,yes
Post-campaign,student,communication,no,senior,2002,21,99,1,1,no,1,2,no,no,no,no,no
Post-campaign,student,film,no,freshman,2005,18,99,1,1,no,4,3,no,no,yes,no,no
Post-campaign,student,film,no,senior,2002,21,99,1,1,no,3,3,no,no,no,no,no
Post-campaign,student,engineering,no,senior,2002,21,99,2,2,no,3,2,no,no,no,no,no
Post-campaign,student,business,yes,junior,2002,21,99,3,2,no,4,3,no,yes,yes,yes,yes
Post-campaign,student,strategic and corporate communication,no,sophomore,2004,19,99,1,1,no,4,2,no,no,no,no,no
Post-campaign,student,health sciences,no,senior,2002,21,99,3,4,no,5,3,no,no,no,no,yes
Post-campaign,student,business,yes,senior,2001,22,99,3,2,no,3,2,yes,no,no,no,yes
Post-campaign,student,strategic and corporate communication,no,junior,2003,20,99,1,1,no,3,1,no,no,no,no,no
Post-campaign,student,business,yes,junior,2003,20,99,5,2,no,2,5,no,yes,no,no,no
Post-campaign,student,strategic and corporate communication,no,senior,2002,21,99,1,1,no,3,1,no,no,no,no,no
Post-campaign,student,business,yes,senior,2002,21,99,2,3,no,3,2,no,no,no,no,yes
Post-campaign,student,strategic and corporate communication,no,senior,2002,21,99,5,5,no,4,3,no,yes,no,yes,yes
Post-campaign,student,communication,no,senior,2002,21,99,1,1,no,3,2,no,no,no,no,no
Post-campaign,student,business,yes,senior,2002,21,99,3,2,no,3,3,yes,no,no,no,yes
Post-campaign,student,communication,no,senior,2002,21,99,1,1,no,3,1,no,no,no,no,no
Post-campaign,student,communication,no,junior,2003,20,99,2,2,no,3,1,no,no,no,no,no
Post-campaign,student,business,yes,junior,2003,20,99,1,1,no,3,2,no,no,no,no,no
Post-campaign,student,business,yes,junior,2002,21,99,5,5,yes,5,5,no,no,no,no,yes
Post-campaign,student,business,yes,senior,2002,21,99,5,4,no,3,3,no,no,no,no,yes
Post-campaign,student,communication,no,senior,2002,21,99,2,1,no,3,2,no,no,no,no,no
Post-campaign,student,communication,no,senior,2002,21,99,4,3,no,3,2,no,no,no,no,no
Post-campaign,student,strategic and corporate communication,no,senior,99,99,99,1,1,no,3,3,yes,no,no,no,yes
Post-campaign,student,business,yes,senior,2002,21,99,3,1,yes,5,5,yes,no,no,no,yes
Post-campaign,student,psychology,no,junior,2003,20,99,1,1,no,3,3,no,no,no,no,no
Post-campaign,student,education,no,sophomore,2003,20,99,3,4,yes,3,3,yes,no,no,yes,yes
Post-campaign,student,education,no,junior,2003,20,99,1,1,no,3,1,no,no,no,no,no
Post-campaign,student,business,yes,senior,2002,21,99,4,3,no,4,3,no,no,no,no,yes
Post-campaign,student,business,yes,sophomore,2004,19,99,3,3,no,3,4,no,no,no,no,no
Post-campaign,student,political science,no,sophomore,2004,19,99,3,1,no,3,4,no,no,no,no,no
Post-campaign,student,film,no,senior,2002,21,99,2,1,no,3,1,no,no,no,no,no
Post-campaign,student,film,no,senior,2002,21,99,5,3,no,4,2,no,no,no,no,yes
Post-campaign,student,engineering,no,sophomore,2004,19,99,2,1,no,3,3,no,no,no,no,no
Post-campaign,student,business,yes,senior,2002,21,99,4,5,yes,5,4,no,no,no,no,yes
Post-campaign,student,health sciences,no,senior,2001,22,99,3,1,no,3,2,no,no,no,no,no
Post-campaign,student,film,no,junior,2003,20,99,2,2,no,3,3,no,no,no,no,no
Post-campaign,student,strategic and corporate communication,no,senior,1995,28,99,3,4,no,4,4,no,no,no,no,no
Post-campaign,student,film,no,junior,2002,21,99,2,1,no,3,1,no,no,no,no,no
Post-campaign,student,business,yes,senior,1999,24,99,2,2,no,3,2,no,no,no,no, 
Post-campaign,student,political science,no,sophomore,2004,19,99,2,1,no,3,1,no,no,no,no,no
Post-campaign,student,psychology,no,senior,2002,21,99,1,1,no,3,3,no,no,no,no,no
Post-campaign,student,business,yes,senior,2002,21,99,3,4,no,2,2,no,no,no,no,yes
Post-campaign,student,psychology,no,senior,2002,21,99,5,5,no,4,5,no,no,yes,no,yes
Post-campaign,student,psychology,no,senior,2002,21,99,1,1,no,3,2,no,no,no,no,no
Post-campaign,student,business,yes,senior,2002,21,99,1,1,no,5,3,no,no,no,no,yes
Post-campaign,student,business,yes,senior,2001,22,99,2,1,no,3,2,no,no,no,no,no
Post-campaign,student,business,yes,senior,2002,21,99,4,3,yes,4,4,yes,no,yes,no,yes
Post-campaign,student,education,no,junior,2003,20,99,1,1,no,3,2,no,no,no,no,no
Post-campaign,student,film,no,senior,2001,22,99,4,3,no,4,5,yes,no,yes,no,no
Post-campaign,student,strategic and corporate communication,no,junior,99,9,99,3,1,no,3,1,no,no,no,no,no
Post-campaign,student,psychology,no,junior,2003,20,99,4,4,no,5,3,yes,yes,no,no,yes
Post-campaign,student,business,yes,senior,99,99,99,5,5,yes,4,5,yes,no,yes,no,yes
Post-campaign,student,film,no,freshman,2005,18,99,2,1,no,3,3,yes,no,no,no,no
Post-campaign,student,business,yes,senior,2002,21,99,3,4,no,4,3,no,no,no,no,yes
Post-campaign,student,engineering,no,freshman,2005,18,99,1,1,no,5,5,no,no,yes,no,yes
Post-campaign,student,business,yes,senior,2001,22,99,3,2,no,3,2,no,no,no,no,no
Post-campaign,student,health sciences,no,senior,2001,22,99,2,2,no,3,4,no,no,no,no,no
Post-campaign,student,business,yes,senior,2002,21,99,4,4,yes,4,5,no,no,no,no,yes
Post-campaign,student,film,no,junior,2003,20,99,5,2,no,3,3,no,no,no,no,yes
Post-campaign,student,communication,no,senior,2002,21,99,1,1,no,1,2,no,no,no,no,no
Post-campaign,student,film,no,freshman,2005,18,99,1,1,no,4,3,no,no,yes,no,no
Post-campaign,student,film,no,senior,2002,21,99,1,1,no,3,3,no,no,no,no,no
Post-campaign,student,engineering,no,senior,2002,21,99,2,2,no,3,2,no,no,no,no,no
